Pack Name,Release Date,Total TCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
Denizens of Sacred Tree Grove,2022-01-19,199884,4648.47,"Naturia Landoise, Naturia Barkion, Naturia Beast, Naturia Mole Cricket, Naturia Exterio, Naturia Gaiastrio, Naturia Bamboo Shoot, Naturia Cliff, Naturia Rosewhip, Naturia Sacred Tree",Naturia Antjaw,Naturia Blessing
Astral Trinity of Gods,2022-01-19,148775,4649.22,"Loki, Lord of the Aesir, Odin, Father of the Aesir, Thor, Lord of the Aesir, Vanadis of the Nordic Ascendant, Valkyrie of the Nordic Ascendant, Gullveig of the Nordic Ascendant, Gleipnir, the Fetters of Fenrir, The Golden Apples",Solemn Authority,Alviss of the Nordic Alfar
Gargantuan Gears,2022-01-19,167588,4655.22,"Chaos Ancient Gear Giant, Ultimate Ancient Gear Golem, Ancient Gear Megaton Golem, Ancient Gear Reactor Dragon, Geartown, Ancient Gear Gadjiltron Dragon, Ancient Gear Golem - Ultimate Pound, Ancient Gear Hydra, Ancient Gear Gadget, Ancient Gear Wyvern, Ancient Gear Ballista, Ancient Gear Catapult, Ancient Gear Fusion",Ancient Gear Soldier,Ancient Gear Ballista
Valiant Gladiator Beasts,2022-01-19,187804,4695.1,"Gladiator Beast Domitianus, Gladiator Beast Heraklinos, Gladiator Beast Gyzarus, Test Panther, Gladiator Beast Nerokius, Gladiator Beast Vespasius, Gladiator Beast Bestiari, Gladiator Beast Equeste, Gladiator Beast Dragases, Gladiator Beast United, Gladiator Proving Ground, Gladiator Beast War Chariot",Parry,Gladiator Naumachia
Devastation Regenerated,2022-01-19,146594,4728.84,"Atomic Scrap Dragon, Scrap Dragon, Scrap Wyvern, Scrap Twin Dragon, Scrap Chimera, Scrap Raptor, Cross Breed, Scrapstorm, Scrapyard",Scrap Recycler,Scrap Raptor
Invaders from Outer Space,2022-01-19,184139,4845.76,"Nibiru, the Primal Being, Worm Zero, Graydle Dragon, W Nebula Meteorite, Worm King, Worm Victory, King of the Feral Imps, Worm Solid, Graydle Alligator, Graydle Eagle, Number 26: Spaceway Octobypass, Worm Linx",Worm Apocalypse,"Nibiru, the Primal Being"
Justice from Light,2022-01-19,175396,4872.11,"Judgment Dragon, Punishment Dragon, Curious, the Lightsworn Dominion, Charge of the Light Brigade, Michael, the Arch-Lightsworn, Ehren, Lightsworn Monk, Lyla, Lightsworn Sorceress, Minerva, the Exalted Lightsworn, Raiden, Hand of the Lightsworn, Lumina, Lightsworn Summoner, Lumina, Twilightsworn Shaman, Solar Recharge",Realm of Light,"Judgment, the Dragon of Heaven"
Galaxy War,2022-01-19,195962,4899.05,"B.E.S. Blaster Cannon Core, Kozmo Dark Eclipser, Kozmo Farmgirl, B.E.F. Zelos, B.E.S. Big Core MK-3, Kozmo Dark Destroyer, Kozmo Sliprider, Vic Viper T301, Kozmo Tincan, Boss Rush, Kozmotown, Safe Zone",Gradius,Vic Viper T301
Toontastic,2022-01-19,186496,4907.79,"Toon Black Luster Soldier, Millennium-Eyes Restrict, Relinquished Anima, Toon Kingdom, Toon Dark Magician, Toon Dark Magician Girl, Thousand-Eyes Restrict, Relinquished Fusion, Toon Bookmark, Toon Page-Flip, Toon Table of Contents, Toon Terror",Toon World,Golden-Eyes Idol
Prehistoric Beast Advance,2022-01-19,186621,4911.08,"Jurrac Meteor, Ultimate Conductor Tyranno, Souleating Oviraptor, Fossil Dig, Overtex Qoatlus, Beatraptor, Miscellaneousaurus, Babycerasaurus, Petiteranodon, Animadorned Archosaur, Jurrac Aeolo, Double Evolution Pill",Tyranno Infinity,Animadorned Archosaur
The Hidden Arts,2022-01-19,128154,4929.0,"Number 12: Crimson Shadow Armor Ninja, Blade Armor Ninja, Ninja Grandmaster Saizo, Ninjitsu Art of Super-Transformation, Yellow Dragon Ninja, Black Dragon Ninja, White Dragon Ninja, Red Dragon Ninja, Blue Dragon Ninja, Ninja Grandmaster Hanzo, Hidden Village of Ninjitsu Arts, Ninjitsu Art of Mirage-Transformation",Ninjitsu Art of Transformation,Ninjitsu Art of Mirage-Transformation
Monster Overdrive,2022-01-19,198418,4960.45,"Armed Dragon LV10 White, Armed Dragon Thunder LV10, Horus the Black Flame Dragon LV8, Silent Swordsman LV7, Armed Dragon LV10, Armed Dragon Thunder LV7, Dark Armed Dragon, Pile Armed Dragon, Horus the Black Flame Dragon LV6, Armed Dragon, the Armored Dragon, Silent Magician, Silent Swordsman",Level Up!,"Armed Dragon, the Armored Dragon"
Fabled Gods,2022-01-19,159198,4974.94,"Fabled Leviathan, Fabled Valkyrus, The Fabled Unicore, Fabled Andwraith, Fabled Soulkius, Fabled Ragin, Fabled Grimro, The Fabled Cerburrel, Obedience Schooled",Fabled Lurrie,Fabled Treason
The Cost of Dark Powers,2022-01-19,200426,5010.65,"Thought Ruler Archfiend, Zerrziel, Ruler of the Evil Eyed, Gorgon, Empress of the Evil Eyed, Masterking Archfiend, Medusa, Watcher of the Evil Eye, Serziel, Watcher of the Evil Eye, Archfiend Heiress, Evil Eye Domain - Pareidolia, Evil Eye Repose, Evil Eye of Gorgoneio, Evil Eye of Selene, Evil Eye Mesmerism",Axe of Despair,Archfiend's Staff of Despair
The Infinite Void,2022-01-19,200966,5024.15,"Infernity Doom Dragon, Void Ogre Dragon, Infernity Archfiend, Infernity Launcher, Infernity Doom Archfiend, Infernity Necromancer, Infernity Mirage, Infernity Pawn, Allure of Darkness, Into the Void, The Beginning of the End, ZERO-MAX, Infernity Barrier",Veil of Darkness,Void Cauldron
Pledge of Sword,2022-01-19,216570,5036.51,"Arcana Triumph Joker, XX-Saber Gottoms, Royal Straight Slasher, M-X-Saber Invoker, Arcana Extra Joker, Gottoms' Emergency Call, Arcana Knight Joker, XX-Saber Faultroll, XX-Saber Hyunlei, X-Saber Wayne, XX-Saber Darksoul, Face Card Fusion, Joker's Straight, Joker's Wild",Queen's Knight,Royal Straight
Soaring on Darkest Wings,2022-01-19,201853,5046.32,"Assault Blackwing - Onimaru the Divine Thunder, Blackwing Full Armor Master, Assault Blackwing - Raikiri the Rain Shower, Blackwing - Nothung the Starlight, Blackwing - Zephyros the Elite, Black-Winged Dragon, Blackfeather Darkrage Dragon, Blackwing - Simoon the Poison Wind, Blackwing Armed Wing, Blackwing - Gram the Shining Star, Blackwing - Gale the Whirlwind, Blackwing - Vayu the Emblem of Honor, Black Whirlwind",Blackwing - Bora the Spear,Glowing Crossbow
Emblazoned Armor,2022-01-19,176856,5053.03,"Vylon Omega, ABC-Dragon Buster, Vylon Disigma, Vylon Alpha, Vylon Epsilon, Vylon Sigma, Union Driver, A-Assault Core, B-Buster Drake, C-Crush Wyvern, Union Hangar",Roll Out!,Union Driver
Combatants of Flame,2022-01-19,162169,5067.78,"Lavalval Exlord, Lavalval Salamander, Lavalval Dragun, Rekindling, Laval the Greater, Laval Archer, Laval Lakeside Lady, Laval Forest Sprite, Laval Volcano Handmaiden, Birth of the Prominence Flame, Molten Conduction Field",Rekindling,Birth of the Prominence Flame
Terra Firma Transcendants,2022-01-19,203300,5082.5,"Malefic Truth Dragon, Earthbound Immortal Aslla piscu, Earthbound Immortal Chacu Challhua, Malefic Paradigm Dragon, Earthbound Immortal Ccapac Apu, Earthbound Immortal Ccarayhua, Malefic Paradox Dragon, Hundred Eyes Dragon, Ascator, Dawnwalker, Supay, Duskwalker, Earthbound Geoglyph, Malefic Territory",Earthbound Immortal Ccapac Apu,Malefic Paradigm Dragon
Transfigured Heroes,2022-01-19,188296,5089.08,"Evil HERO Dark Gaia, Evil HERO Malicious Bane, Evil HERO Malicious Fiend, Masked HERO Dark Law, Super Polymerization, Masked HERO Acid, Masked HERO Blast, Elemental HERO Shadow Mist, Evil HERO Adusted Gold, Dark Calling, Dark Fusion, Evil Mind, Mask Change, Mask Change II",Evil HERO Infernal Gainer,Xtra HERO Infernal Devicer
Forgotten City Dwellers,2022-01-19,203916,5097.9,"Mermail Abyssgaios, Abyss Dweller, Neptabyss, the Atlantean Prince, Mermail Abyssalacia, Mermail Abyssleed, Mermail Abyssmegalo, Mermail Abyssteus, Poseidra, the Atlantean Dragon, Atlantean Dragoons, Atlantean Marksman, Mermail Abyssgunde, Atlantean Heavy Infantry",Atlantean Pikeman,Mermail Abyssalacia
Mastery of the Grimoire,2022-01-19,159703,5151.71,"Hierophant of Prophecy, Spellbook Magician of Prophecy, Crowley, the First Propheseer, Spellbook of Secrets, High Priestess of Prophecy, Empress of Prophecy, Temperance of Prophecy, Spellbook of Fate, Spellbook of Knowledge, Spellbook of Life, Spellbook of the Master",Amores of Prophecy,"Crowley, the First Propheseer"
Glacial Seal,2022-01-19,207442,5186.05,"Trishula, Zero Dragon of the Ice Barrier, Trishula, Dragon of the Ice Barrier, Gungnir, Dragon of the Ice Barrier, Brionac, Dragon of the Ice Barrier, Dewloren, Tiger King of the Ice Barrier, General Raiho of the Ice Barrier, General Wayne of the Ice Barrier, Revealer of the Ice Barrier, Speaker for the Ice Barriers, Freezing Chains of the Ice Barrier, Medallion of the Ice Barrier, Terror of Trishula","Blizzed, Defender of the Ice Barrier",Judge of the Ice Barrier
Pearlescent Cyber Dragons,2022-01-19,209971,5249.27,"Chimeratech Megafleet Dragon, Cyber End Dragon, Cyber Dragon Infinity, Cyber Dragon Sieger, Cyber Eternity Dragon, Cyberdarkness Dragon, Chimeratech Overdragon, Cyber Twin Dragon, Chimeratech Rampage Dragon, Cyberdark Cannon, Cyberdark Claw, Cyber Dragon Core, Cyber Emergency",Power Bond,Cyber Dragon Nachster
