Pack Name,Release Date,OCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
Gargantuan Gears,2022-01-19,163086,4530.166666666667,"Chaos Ancient Gear Giant, Ultimate Ancient Gear Golem, Ancient Gear Megaton Golem, Ancient Gear Reactor Dragon, Geartown, Ancient Gear Gadjiltron Dragon, Ancient Gear Golem - Ultimate Pound, Ancient Gear Hydra, Ancient Gear Gadget, Ancient Gear Wyvern, Ancient Gear Ballista, Ancient Gear Catapult, Ancient Gear Fusion",,
Iron Core Synthetics,2022-01-19,163113,4077.825,"Koa'ki Meiru Maximus, Koa'ki Meiru Rooklord, Koa'ki Meiru Urnight, Diamond Core of Koa'ki Meiru, Koa'ki Meiru Bergzak, Koa'ki Meiru Drago, Koa'ki Meiru Guardian, Koa'ki Meiru Overload, Koa'ki Meiru Sandman, Koa'ki Meiru Supplier, Koa'ki Meiru Wall, Koa'ki Meiru Doom, Nega-Ton Corepanel",,
Beasts of the Inferno,2022-01-19,163660,4196.410256410257,"Volcanic Doomfire, Hazy Flame Basiltrice, Star Mine, Blaze Accelerator Reload, Lava Golem, Hazy Flame Sphynx, Vulcan the Divine, Volcanic Rocket, Firebrand Hymnist, Gren Maju Da Eiza, Volcanic Counter, Volcanic Shell",,
Emblazoned Armor,2022-01-19,165737,4735.342857142857,"Vylon Omega, ABC-Dragon Buster, Vylon Disigma, Vylon Alpha, Vylon Epsilon, Vylon Sigma, Union Driver, A-Assault Core, B-Buster Drake, C-Crush Wyvern, Union Hangar",,
Awakening of the Ancients,2022-01-19,165795,4144.875,"Guardian Eatos, Artifact Scythe, Double-Edged Sword, Artifact Sanctum, Guardian Dreadscythe, Artifact Durendal, Artifact Lancea, Artifact Moralltach, Artifact Dagda, Artifact Ignition, Hidden Armory, Power of the Guardians, Armory Call",,
Invaders from Outer Space,2022-01-19,169747,4467.026315789473,"Nibiru, the Primal Being, Worm Zero, Graydle Dragon, W Nebula Meteorite, Worm King, Worm Victory, King of the Feral Imps, Worm Solid, Graydle Alligator, Graydle Eagle, Number 26: Spaceway Octobypass, Worm Linx",,
Great Shogun's Rule,2022-01-19,169894,4247.35,"Legendary Six Samurai - Shi En, Shadow of the Six Samurai - Shien, Battle Shogun of the Six Samurai, Gateway of the Six, Grandmaster of the Six Samurai, Secret Six Samurai - Rihan, Legendary Six Samurai - Kizan, Secret Six Samurai - Fuma, Shien's Smoke Signal, Six Samurai United, Musakani Magatama",,
Toontastic,2022-01-19,170976,4499.368421052632,"Toon Black Luster Soldier, Millennium-Eyes Restrict, Relinquished Anima, Toon Kingdom, Toon Dark Magician, Toon Dark Magician Girl, Thousand-Eyes Restrict, Relinquished Fusion, Toon Bookmark, Toon Page-Flip, Toon Table of Contents, Toon Terror",,
Justice from Light,2022-01-19,174528,4848.0,"Judgment Dragon, Punishment Dragon, Curious, the Lightsworn Dominion, Charge of the Light Brigade, Michael, the Arch-Lightsworn, Ehren, Lightsworn Monk, Lyla, Lightsworn Sorceress, Minerva, the Exalted Lightsworn, Raiden, Hand of the Lightsworn, Lumina, Lightsworn Summoner, Lumina, Twilightsworn Shaman, Solar Recharge",,
Cyber City Guardians,2022-01-19,175419,7309.125,"Virtual World Kyubi - Shenshen, Virtual World Beast - Jiujiu, Virtual World Dragon - Longlong, Tindangle Acute Cerberus, Metaverse, Tindangle Hound, Virtual World Phoenix - Fanfan, Tindangle Dholes, Virtual World Hime - Nyannyan, Virtual World Mai-Hime - Lulu, Pseudo Space",,
Guardians of the Sacred Sky,2022-01-19,176492,4011.181818181818,"Master Hyperion, Apollousa, Bow of the Goddess, Apollousa, Bow of the Goddess, Celestial Knightlord Parshath, Ultimate Slayer, Solemn Judgment, Solemn Strike, Sacred Arch-Airknight Parshath, The Agent of Entropy - Uranus, Power Angel Valkyria, The Agent of Mystery - Earth, Cards from the Sky, Divine Punishment, Rebirth of Parshath, Solemn Warning, Titanocider",,
Prehistoric Beast Advance,2022-01-19,177515,4671.4473684210525,"Jurrac Meteor, Ultimate Conductor Tyranno, Souleating Oviraptor, Fossil Dig, Overtex Qoatlus, Beatraptor, Miscellaneousaurus, Babycerasaurus, Petiteranodon, Animadorned Archosaur, Jurrac Aeolo, Double Evolution Pill",,
Electrilyrical,2022-01-19,180033,5455.545454545455,"Batteryman Solar, Appliancer Celtopus, Appliancer Electrilyrical World, Batteryman Industrial Strength, Super-Electromagnetic Voltech Dragon, Batteryman 9-Volt, Appliancer Socketroll, Appliancer Test, Universal Adapter",,
Mischievous Specters,2022-01-19,182344,5698.25,"Ghostrick Angel of Mischief, Ghostrick Alucard, Ghostrick Dullahan, Ghostrick Fairy, Ghostrick Lantern, Ghostrick Mary, Scapeghost, Ghostrick Mansion, Ghostrick Break, Ghostrick Renovation",,
